10
Year,Month,Day,TempMax,TempAvg,TempMin,DewPointMax,DewPointAvg,DewPointMin,HumidityMax,HumidityAvg,HumidityMin,WindMax,WindAvg,WindMin,PressureMax,PressureAvg,PressureMin,Precipitation
2018,2,6,48,46,44,44,42.8,41,96,88.7,80,12,7.4,5,29.9,29.9,29.8,0.03
2018,8,16,72,63.3,58,57,55.6,53,93,77.2,57,10,6.6,0,29.7,29.6,29.5,0
2018,2,12,46,38.1,32,24,21.2,17,66,51.7,37,17,8.6,0,29.9,29.8,29.7,0
2018,3,8,52,46.6,40,45,42.2,38,93,85.1,74,28,13,0,29.4,29.3,29.1,0.04
2018,4,15,51,46,43,44,42.1,40,97,87,66,18,8,0,29.5,29.3,29.1,1.68
2018,4,26,81,66.2,52,48,43.3,37,80,45.6,26,15,8.7,3,29.6,29.5,29.4,0
2018,3,22,49,43.4,39,45,39.2,33,96,85.3,68,17,10.6,0,29.3,29.1,29,0.13
2018,3,2,45,40.8,37,37,35,32,93,80.4,63,15,6.3,0,29.3,29.2,29.1,0.11
2019,2,20,42,38.8,37,36,33.1,30,93,80.5,67,16,6.6,0,29.5,29.4,29.4,0.32
2018,1,24,49,45.4,41,46,41.5,37,93,86,77,18,10.2,5,29.3,29.2,29.1,1
